resp.var,modname,AICc,BIC,r2.vals,r2.vals.unique,edf,edf.less.1,delta.AICc,delta.BIC,wi.AICc,wi.BIC,layer_depth,layer_detrended,layer_roughness,layer_tpi,cumsum.wi
biota.stony.corals.layer_depth+layer_detrended,layer_depth+layer_detrended,204.008408,219.6313825,0.05727,NA,4.89,0,14.22,5.827,0.001,0.039,1,1,0,0,1
biota.stony.corals.layer_depth+layer_roughness+layer_tpi,layer_depth+layer_roughness+layer_tpi,204.8547784,223.2884528,0.05749,NA,5.79,0,15.067,9.484,0.001,0.006,1,0,1,1,1.001
biota.stony.corals.layer_depth+layer_tpi,layer_depth+layer_tpi,208.0684578,217.7134751,0.05144,NA,3,0,18.28,3.909,0,0.102,1,0,0,1,1.001
biota.stony.corals.layer_depth,layer_depth,212.6328329,219.0844907,0.04544,NA,2,0,22.845,5.28,0,0.051,1,0,0,0,1.001
biota.stony.corals.layer_roughness,layer_roughness,213.4821388,228.1207577,0.02362,NA,4.58,0,23.694,14.316,0,0.001,0,0,1,0,1.001
biota.stony.corals.layer_detrended+layer_roughness,layer_detrended+layer_roughness,213.4948359,232.9841596,0.02362,NA,6.13,0,23.707,19.18,0,0,0,1,1,0,1.001
biota.stony.corals.layer_roughness+layer_tpi,layer_roughness+layer_tpi,222.6434788,238.4975979,0.04609,NA,4.96,0,32.855,24.693,0,0,0,0,1,1,1.001
biota.stony.corals.layer_detrended+layer_roughness+layer_tpi,layer_detrended+layer_roughness+layer_tpi,224.1059447,244.6491589,0.04632,NA,6.47,0,34.318,30.845,0,0,0,1,1,1,1.001
biota.stony.corals.layer_tpi,layer_tpi,250.0046989,265.6712235,0.00656,NA,4.9,0,60.217,51.867,0,0,0,0,0,1,1.001
biota.stony.corals.layer_detrended+layer_tpi,layer_detrended+layer_tpi,251.0457382,270.4018142,0.00902,NA,6.09,0,61.258,56.597,0,0,0,1,0,1,1.001
biota.stony.corals.null,null,265.1615713,268.398014,0,NA,1,0,75.374,54.593,0,0,0,0,0,0,1.001
biota.stony.corals.layer_detrended,layer_detrended,266.7571188,274.0237697,0.01163,NA,2.25,0,76.969,60.219,0,0,0,1,0,0,1.001
biota.unconsolidated.layer_depth+layer_detrended+layer_roughness+layer_tpi,layer_depth+layer_detrended+layer_roughness+layer_tpi,1557.01424,1601.41177,0.24327,NA,14.4,0,0,0,0.998,0.836,1,1,1,1,0.998
biota.unconsolidated.layer_depth+layer_detrended+layer_tpi,layer_depth+layer_detrended+layer_tpi,1569.851927,1604.757814,0.23163,NA,11.18,0,12.838,3.346,0.002,0.157,1,1,0,1,1
biota.unconsolidated.layer_depth+layer_detrended+layer_roughness,layer_depth+layer_detrended+layer_roughness,1574.786887,1612.432197,0.23266,NA,12.1,0,17.773,11.02,0,0.003,1,1,1,0,1
biota.unconsolidated.layer_depth+layer_detrended,layer_depth+layer_detrended,1584.313484,1612.210877,0.22058,NA,8.86,0,27.299,10.799,0,0.004,1,1,0,0,1
biota.unconsolidated.layer_detrended+layer_roughness+layer_tpi,layer_detrended+layer_roughness+layer_tpi,1643.423214,1682.588519,0.18185,NA,12.61,0,86.409,81.177,0,0,0,1,1,1,1
biota.unconsolidated.layer_depth+layer_roughness+layer_tpi,layer_depth+layer_roughness+layer_tpi,1647.137896,1681.429084,0.17185,NA,10.98,0,90.124,80.017,0,0,1,0,1,1,1
biota.unconsolidated.layer_depth+layer_roughness,layer_depth+layer_roughness,1657.226939,1683.483903,0.16255,NA,8.32,0,100.213,82.072,0,0,1,0,1,0,1
biota.unconsolidated.layer_detrended+layer_tpi,layer_detrended+layer_tpi,1679.123629,1707.180133,0.15559,NA,8.91,0,122.109,105.768,0,0,0,1,0,1,1
biota.unconsolidated.layer_depth+layer_tpi,layer_depth+layer_tpi,1680.469288,1704.488608,0.14467,NA,7.59,0,123.455,103.077,0,0,1,0,0,1,1
biota.unconsolidated.layer_detrended+layer_roughness,layer_detrended+layer_roughness,1690.959672,1718.451502,0.18068,NA,8.73,0,133.945,117.04,0,0,0,1,1,0,1
