"","modname","AICc","BIC","r2.vals","r2.vals.unique","edf","edf.less.1","delta.AICc","delta.BIC","wi.AICc","wi.BIC","depth","mean.relief","sd.relief","reef","status","cumsum.wi"
"Pomacentrus coelestis.depth","depth",421.933046523322,430.747829658376,0.03609,NA,3.02,0,3.253,4.232,0.068,0.062,1,0,0,0,0,0.694
"Pomacentrus coelestis.sd.relief","sd.relief",422.30372082858,429.161542683459,0.00973,NA,2,0,3.624,2.645,0.056,0.137,0,0,1,0,0,0.75
"Pomacentrus coelestis.depth+mean.relief","depth+mean.relief",422.95757215385,435.411172534289,0.08607,NA,5.61,0,4.278,8.895,0.041,0.006,1,1,0,0,0,0.791
"Pomacentrus coelestis.status","status",423.256696030958,430.114433344464,0.00285,NA,2,0,4.577,3.598,0.035,0.085,0,0,0,0,1,0.826
"Pomacentrus coelestis.mean.relief+status","mean.relief+status",423.360995857441,434.711773517245,0.07081,NA,4.89,0,4.681,8.195,0.033,0.009,0,1,0,0,1,0.859
"Pomacentrus coelestis.reef+sd.relief","reef+sd.relief",423.555099853011,435.022401575827,0.02287,NA,5.14,0,4.876,8.506,0.03,0.007,0,0,1,1,0,0.889
"Pomacentrus coelestis.reef+status","reef+status",423.93107326436,435.520381368377,0.02188,NA,5.25,0,5.251,9.004,0.025,0.006,0,0,0,1,1,0.914
"Pomacentrus coelestis.depth+reef","depth+reef",424.470632562682,434.597519939481,0.03612,NA,4.02,0,5.791,8.081,0.019,0.009,1,0,0,1,0,0.933
"Pomacentrus coelestis.sd.relief+status","sd.relief+status",424.639339536772,432.965218136477,0.01164,NA,3,0,5.96,6.449,0.017,0.02,0,0,1,0,1,0.95
"Pomacentrus coelestis.depth+sd.relief","depth+sd.relief",424.999427617652,436.193212708684,0.057,NA,4.56,0,6.32,9.677,0.015,0.004,1,0,1,0,0,0.965
"Pomacentrus coelestis.sd.relief.by.status+status","sd.relief.by.status+status",426.276088497531,437.345014088617,0.03601,NA,4.77,0,7.596,10.829,0.008,0.002,0,0,1,0,1,0.973
"Pomacentrus coelestis.reef.by.status+status","reef.by.status+status",426.455857036347,437.390473357901,0.01415,NA,4.81,0,7.776,10.874,0.007,0.002,0,0,0,1,1,0.98
"Pomacentrus coelestis.reef+sd.relief+status","reef+sd.relief+status",426.486557289332,438.975590756126,0.02315,NA,6.11,0,7.807,12.459,0.007,0.001,0,0,1,1,1,0.987
"Pomacentrus coelestis.reef+sd.relief.by.status+status","reef+sd.relief.by.status+status",427.374046648075,441.567531489044,0.04437,NA,7.84,0,8.694,15.051,0.004,0,0,0,1,1,1,0.991
"Pomacentrus coelestis.depth+reef+sd.relief","depth+reef+sd.relief",427.770638059226,440.001189404227,0.05651,NA,5.53,0,9.091,13.485,0.004,0.001,1,0,1,1,0,0.995
"Pomacentrus coelestis.reef.by.status+sd.relief+status","reef.by.status+sd.relief+status",427.875808038099,439.822995470011,0.02246,NA,5.68,0,9.196,13.307,0.003,0.001,0,0,1,1,1,0.998
"Chromis fumea.reef+sd.relief+status","reef+sd.relief+status",282.228449506869,289.134450336832,0.24783,NA,5.62,0,0,0.358,0.11,0.078,0,0,1,1,1,0.11
"Chromis fumea.depth+sd.relief","depth+sd.relief",282.295295383141,289.006098940114,0.17857,NA,4.46,0,0.067,0.23,0.107,0.083,1,0,1,0,0,0.217
"Chromis fumea.reef+status","reef+status",282.554043784625,288.776114997937,0.12189,NA,3.49,0,0.326,0,0.094,0.093,0,0,0,1,1,0.311
